VehicleID,Amount (Million Naira)
VHL13440,1.0
VHL13285,1.0
VHL18805,1.0
VHL18550,1.0
VHL10061,1.0
VHL18522,1.0
VHL16813,1.0
VHL11036,1.0
VHL12107,1.0
VHL17826,1.0
VHL14449,1.0
VHL14938,1.0
VHL14098,1.0
VHL19241,1.0
VHL17856,1.0
VHL18900,1.0
VHL11133,1.0
VHL11687,1.0
VHL12719,1.0
VHL15531,1.0
VHL17329,1.0
VHL16806,1.0
VHL11582,1.0
VHL16362,1.0
VHL11119,1.0
VHL13806,1.0
VHL11733,1.0
VHL18959,1.0
VHL17287,1.0
VHL11709,1.0
VHL19793,1.0
VHL19880,1.0
VHL19964,1.0
VHL12784,1.0
VHL17371,1.0
VHL12439,1.0
VHL16652,1.0
VHL17836,1.0
VHL16597,1.0
VHL18707,1.0
VHL16683,1.0
VHL15365,1.0
VHL13507,1.0
VHL14459,1.0
VHL19300,1.0
VHL18418,1.0
VHL15350,1.0
VHL15927,1.0
VHL12985,1.0
VHL10426,1.0
VHL10506,1.0
VHL11042,1.0
VHL18043,1.0
VHL16258,1.0
VHL19326,1.0
VHL15424,1.0
VHL19014,1.0
VHL11310,1.0
VHL12927,1.0
VHL10082,1.0
VHL10068,1.0
VHL13660,1.0
VHL18810,1.0
VHL17666,1.0
VHL18022,1.0
VHL11237,1.0
VHL17240,1.0
VHL13512,1.0
VHL10596,1.0
VHL10073,1.0
VHL13719,1.0
VHL10077,1.0
VHL13151,1.0
VHL12499,1.0
VHL18832,1.0
VHL16790,1.0
VHL13880,1.0
VHL19448,1.0
VHL15860,1.0
VHL14538,1.0
VHL16505,1.0
VHL11544,1.0
VHL19830,1.0
VHL10194,1.0
VHL15744,1.0
VHL10957,1.0
VHL12568,1.0
VHL19448,1.0
VHL14417,1.0
VHL10368,1.0
VHL10806,1.0
VHL17414,1.0
VHL14892,1.0
VHL17933,1.0
VHL15852,1.0
VHL10505,1.0
VHL18345,1.0
VHL13294,1.0
VHL18253,1.0
VHL17152,1.0
VHL12883,1.0
VHL16101,1.0
VHL15563,1.0
VHL10313,1.0
VHL18291,1.0
VHL13553,1.0
VHL11440,1.0
VHL15887,1.0
VHL17489,1.0
VHL16271,1.0
VHL15007,1.0
VHL15329,1.0
VHL13826,1.0
VHL11568,1.0
VHL13578,1.0
VHL16302,1.0
VHL12677,1.0
VHL18866,1.0
VHL11976,1.0
VHL17817,1.0
VHL16893,1.0
VHL11075,1.0
VHL14865,1.0
VHL13535,1.0
VHL16299,1.0
VHL19327,1.0
VHL10055,1.0
VHL14258,1.0
VHL11527,1.0
VHL17682,1.0
VHL10073,1.0
VHL14599,1.0
VHL15495,1.0
VHL13387,1.0
VHL19505,1.0
VHL16307,1.0
VHL11034,1.0
VHL13625,1.0
VHL19623,1.0
VHL10838,1.0
VHL11711,1.0
VHL14148,1.0
VHL15745,1.0
VHL15705,1.0
VHL14767,1.0
VHL10108,1.0
VHL17818,1.0
VHL18324,1.0
VHL19741,1.0
VHL11815,1.0
VHL18939,1.0
VHL18042,1.0
VHL13176,1.0
VHL16859,1.0
VHL14405,1.0
VHL14751,1.0
VHL18416,1.0
VHL13952,1.0
VHL14726,1.0
VHL11889,1.0
VHL12851,1.0
VHL12862,1.0
VHL14262,1.0
VHL13520,1.0
VHL14967,1.0
VHL14728,1.0
VHL15340,1.0
VHL14760,1.0
VHL18498,1.0
VHL18440,1.0
VHL18477,1.0
VHL16456,1.0
VHL19596,1.0
VHL19616,1.0
VHL12885,1.0
VHL13080,1.0
VHL10988,1.0
VHL16251,1.0
VHL16941,1.0
VHL19708,1.0
VHL13116,1.0
VHL17823,1.0
VHL14587,1.0
VHL16807,1.0
VHL15706,1.0
VHL19568,1.0
VHL12877,1.0
VHL16412,1.0
VHL18036,1.0
VHL16860,1.0
VHL14755,1.0
VHL19234,1.0
VHL13272,1.0
VHL16892,1.0
VHL17413,1.0
VHL18817,1.0
VHL11681,1.0
VHL10192,1.0
VHL16374,1.0
VHL17630,1.0
VHL15610,1.0
VHL11364,1.0
VHL13136,1.0
VHL10038,1.0
VHL12580,1.0
VHL14253,1.0
VHL17421,1.0
VHL15458,1.0
VHL12574,1.0
VHL14109,1.0
VHL15943,1.0
VHL17404,1.0
VHL14940,1.0
VHL16625,1.0
VHL12066,1.0
VHL12899,1.0
VHL11652,1.0
VHL17554,1.0
VHL11567,1.0
VHL10163,1.0
VHL10355,1.0
VHL12041,1.0
VHL13416,1.0
VHL15974,1.0
VHL12082,1.0
VHL12319,1.0
VHL12556,1.0
VHL18675,1.0
VHL13381,1.0
VHL14325,1.0
VHL15875,1.0
VHL10638,1.0
VHL10544,1.0
VHL11654,1.0
VHL14423,1.0
VHL14569,1.0
VHL15007,1.0
VHL18221,1.0
VHL10785,1.0
VHL16546,1.0
VHL19173,1.0
VHL11731,1.0
VHL18180,1.0
VHL19452,1.0
VHL16163,1.0
VHL14877,1.0
VHL10102,1.0
VHL16046,1.0
VHL13684,1.0
VHL18749,1.0
VHL15304,1.0
VHL10117,1.0
VHL19957,1.0
VHL19132,1.0
VHL15383,1.0
VHL10136,1.0
VHL17919,1.0
VHL11444,1.0
VHL18795,1.0
VHL12062,1.0
VHL15890,1.0
VHL17372,1.0
VHL12038,1.0
VHL19368,1.0
VHL10476,1.0
VHL14079,1.0
VHL10401,1.0
VHL12810,1.0
VHL19466,1.0
VHL15757,1.0
VHL15894,1.0
VHL18056,1.0
VHL16634,1.0
VHL16608,1.0
VHL19831,1.0
VHL13863,1.0
VHL11159,1.0
VHL15412,1.0
VHL10730,1.0
VHL17248,1.0
VHL16421,1.0
VHL11328,1.0
VHL18439,1.0
VHL12340,1.0
VHL10461,1.0
VHL15024,1.0
VHL11850,1.0
VHL16423,1.0
VHL16427,1.0
VHL13444,1.0
VHL16609,1.0
VHL11522,1.0
VHL11433,1.0
VHL15853,1.0
VHL14168,1.0
VHL19004,1.0
VHL10827,1.0
VHL19998,1.0
VHL14997,1.0
VHL15827,1.0
VHL18844,1.0
VHL10076,1.0
VHL16342,1.0
VHL19420,1.0
VHL12762,1.0
VHL16916,1.0
VHL10660,1.0
VHL18142,1.0
VHL13721,1.0
VHL18101,1.0
VHL11732,1.0
VHL14351,1.0
VHL16617,1.0
VHL13840,1.0
VHL10596,1.0
VHL19148,1.0
VHL16845,1.0
VHL17262,1.0
VHL17801,1.0
VHL18039,1.0
VHL15369,1.0
VHL14483,1.0
VHL19700,1.0
VHL15877,1.0
VHL15552,1.0
VHL18756,1.0
VHL10301,1.0
VHL17678,1.0
VHL17604,1.0
VHL17969,1.0
VHL17089,1.0
VHL13239,1.0
VHL12466,1.0
VHL16020,1.0
VHL15014,1.0
VHL13302,1.0
VHL17986,1.0
VHL14724,1.0
VHL15147,1.0
VHL15325,1.0
VHL16131,1.0
VHL14868,1.0
VHL15382,1.0
VHL12164,1.0
VHL11723,1.0
VHL14888,1.0
VHL17997,1.0
VHL11576,1.0
VHL16048,1.0
VHL17795,1.0
VHL15642,1.0
VHL13953,1.0
VHL10189,1.0
VHL13338,1.0
VHL19247,1.0
VHL16429,1.0
VHL10272,1.0
VHL12716,1.0
VHL12652,1.0
VHL13545,1.0
VHL11323,1.0
VHL15121,1.0
VHL17568,1.0
VHL11886,1.0
VHL17402,1.0
VHL10243,1.0
VHL13407,1.0
VHL12149,1.0
VHL11037,1.0
VHL17924,1.0
VHL12180,1.0
VHL14683,1.0
VHL18920,1.0
VHL12024,1.0
VHL13968,1.0
VHL11079,1.0
VHL14355,1.0
VHL11824,1.0
VHL19942,1.0
VHL12917,1.0
VHL15326,1.0
VHL13585,1.0
VHL12069,1.0
VHL17056,1.0
VHL10515,1.0
VHL16435,1.0
VHL17564,1.0
VHL18798,1.0
VHL10222,1.0
VHL17645,1.0
VHL10810,1.0
VHL14216,1.0
VHL13799,1.0
VHL19965,1.0
VHL18568,1.0
VHL17957,1.0
VHL11023,1.0
VHL17797,1.0
VHL16174,1.0
VHL15112,1.0
VHL10167,1.0
VHL18749,1.0
VHL16276,1.0
VHL15593,1.0
VHL18474,1.0
VHL13000,1.0
VHL10796,1.0
VHL16443,1.0
VHL13954,1.0
VHL12761,1.0
VHL17916,1.0
VHL13145,1.0
VHL19331,1.0
VHL15623,1.0
VHL13922,1.0
VHL11222,1.0
VHL15425,1.0
VHL19072,1.0
VHL18649,1.0
VHL14730,1.0
VHL12512,1.0
VHL18486,1.0
VHL13182,1.0
VHL19735,1.0
VHL13370,1.0
VHL15038,1.0
VHL13034,1.0
VHL16581,1.0
VHL12113,1.0
VHL16914,1.0
VHL18231,1.0
VHL14192,1.0
VHL10404,1.0
VHL10084,1.0
VHL13855,1.0
VHL14027,1.0
VHL16209,1.0
VHL11144,1.0
VHL18646,1.0
VHL16431,1.0
VHL16873,1.0
VHL19594,1.0
VHL18630,1.0
VHL17288,1.0
VHL13113,1.0
VHL18865,1.0
VHL18260,1.0
VHL13198,1.0
VHL11475,1.0
VHL18584,1.0
VHL14768,1.0
VHL16073,1.0
VHL15742,1.0
VHL18879,1.0
VHL12038,1.0
VHL19728,1.0
VHL17986,1.0
VHL18819,1.0
VHL12225,1.0
VHL19157,1.0
VHL19615,1.0
VHL17175,1.0
VHL13050,1.0
VHL13123,1.0
VHL16065,1.0
VHL12484,1.0
VHL11338,1.0
VHL17289,1.0
VHL15447,1.0
VHL18803,1.0
VHL18294,1.0
VHL15133,1.0
VHL10657,1.0
VHL10619,1.0
VHL17912,1.0
VHL18164,1.0
VHL14504,1.0
VHL18885,1.0
VHL10118,1.0
VHL17852,1.0
VHL18834,1.0
VHL11508,1.0
VHL17633,1.0
VHL15893,1.0
VHL14089,1.0
VHL18800,1.0
VHL12314,1.0
VHL18047,1.0
VHL11118,1.0
VHL17922,1.0
VHL17121,1.0
VHL13960,1.0
VHL15350,1.0
VHL17939,1.0
VHL11888,1.0
VHL17044,1.0
VHL10290,1.0
VHL19497,1.0
VHL17807,1.0
VHL11467,1.0
VHL14703,1.0
VHL17518,1.0
VHL19578,1.0
VHL10425,1.0
VHL11304,1.0
VHL10086,1.0
VHL19512,1.0
VHL13350,1.0
VHL12694,1.0
VHL12838,1.0
VHL16255,1.0
VHL15196,1.0
VHL16844,1.0
VHL10977,1.0
VHL18145,1.0
VHL12297,1.0
VHL15274,1.0
VHL15478,1.0
VHL16940,1.0
VHL14407,1.0
VHL19544,1.0
VHL10519,1.0
VHL16928,1.0
VHL11692,1.0
VHL15180,1.0
VHL19040,1.0
VHL11628,1.0
VHL19845,1.0
VHL16574,1.0
VHL14807,1.0
VHL11188,1.0
VHL18077,1.0
VHL14836,1.0
VHL13406,1.0
VHL18365,1.0
VHL18328,1.0
VHL14695,1.0
VHL12724,1.0
VHL10202,1.0
VHL12815,1.0
VHL12630,1.0
VHL14283,1.0
VHL18698,1.0
VHL10141,1.0
VHL16204,1.0
VHL11310,1.0
VHL18878,1.0
VHL19310,1.0
VHL18219,1.0
VHL13108,1.0
VHL14070,1.0
VHL16891,1.0
VHL10398,1.0
VHL12755,1.0
VHL12995,1.0
VHL12158,1.0
VHL17814,1.0
VHL15098,1.0
VHL13066,1.0
VHL13362,1.0
VHL13443,1.0
VHL18173,1.0
VHL16277,1.0
VHL17380,1.0
VHL18129,1.0
VHL11891,1.0
VHL11042,1.0
VHL16137,1.0
VHL13400,1.0
VHL19399,1.0
VHL16723,1.0
VHL12416,1.0
VHL10350,1.0
VHL13811,1.0
VHL13916,1.0
VHL11857,1.0
VHL12040,1.0
VHL10872,1.0
VHL14351,1.0
VHL18230,1.0
VHL14851,1.0
VHL19426,1.0
VHL12795,1.0
VHL16882,1.0
VHL15924,1.0
VHL10807,1.0
VHL10611,1.0
VHL15296,1.0
VHL11333,1.0
VHL18616,1.0
VHL15633,1.0
VHL15157,1.0
VHL16982,1.0
VHL13879,1.0
VHL17585,1.0
VHL13116,1.0
VHL16982,1.0
VHL18017,1.0
VHL19155,1.0
VHL19997,1.0
VHL19660,1.0
VHL19990,1.0
VHL13582,1.0
VHL15998,1.0
VHL13285,1.0
VHL16586,1.0
VHL15120,1.0
VHL14954,1.0
VHL18066,1.0
VHL13559,1.0
VHL14707,1.0
VHL12562,1.0
VHL15527,1.0
VHL12878,1.0
VHL12507,1.0
VHL14699,1.0
VHL14730,1.0
VHL16614,1.0
VHL13024,1.0
VHL19915,1.0
VHL13101,1.0
VHL13052,1.0
VHL19820,1.0
VHL11562,1.0
VHL16424,1.0
VHL10876,1.0
VHL12199,1.0
VHL17320,1.0
VHL13599,1.0
VHL15761,1.0
VHL12114,1.0
VHL14797,1.0
VHL10360,1.0
VHL11344,1.0
VHL13709,1.0
VHL19962,1.0
VHL11021,1.0
VHL11988,1.0
VHL18459,1.0
VHL12547,1.0
VHL17688,1.0
VHL10267,1.0
VHL17363,1.0
VHL19946,1.0
VHL17698,1.0
VHL10234,1.0
VHL13897,1.0
VHL13543,1.0
VHL11002,1.0
VHL19102,1.0
VHL17633,1.0
VHL18124,1.0
VHL16120,1.0
VHL19186,1.0
VHL18664,1.0
VHL17083,1.0
VHL13077,1.0
VHL17267,1.0
VHL18565,1.0
VHL13814,1.0
VHL18967,1.0
VHL13503,1.0
VHL13644,1.0
VHL17079,1.0
VHL15239,1.0
VHL17245,1.0
VHL10153,1.0
VHL19693,1.0
VHL10773,1.0
VHL11413,1.0
VHL10223,1.0
VHL18530,1.0
VHL12551,1.0
VHL17602,1.0
VHL13375,1.0
VHL13337,1.0
VHL18551,1.0
VHL17882,1.0
VHL17761,1.0
VHL12646,1.0
VHL15219,1.0
VHL14365,1.0
VHL16915,1.0
VHL10906,1.0
VHL13513,1.0
VHL14542,1.0
VHL14200,1.0
VHL18013,1.0
VHL14772,1.0
VHL13641,1.0
VHL15001,1.0
VHL10409,1.0
VHL12698,1.0
VHL14128,1.0
VHL10621,1.0
VHL13729,1.0
VHL16191,1.0
VHL11188,1.0
VHL14810,1.0
VHL16357,1.0
VHL18353,1.0
VHL15843,1.0
VHL10210,1.0
VHL17457,1.0
VHL11022,1.0
VHL16541,1.0
VHL17647,1.0
VHL11229,1.0
VHL17996,1.0
VHL17089,1.0
VHL19543,1.0
VHL19715,1.0
VHL17944,1.0
VHL16820,1.0
VHL14857,1.0
VHL17512,1.0
VHL16649,1.0
VHL14838,1.0
VHL14568,1.0
VHL17525,1.0
VHL16117,1.0
VHL13135,1.0
VHL19812,1.0
VHL17027,1.0
VHL14654,1.0
VHL12420,1.0
VHL10360,1.0
VHL13629,1.0
VHL16737,1.0
VHL15446,1.0
VHL10946,1.0
VHL13953,1.0
VHL17303,1.0
VHL15447,1.0
VHL12854,1.0
VHL12567,1.0
VHL19137,1.0
VHL19411,1.0
VHL10923,1.0
VHL17236,1.0
VHL19462,1.0
VHL13097,1.0
VHL19969,1.0
VHL11860,1.0
VHL18943,1.0
VHL11672,1.0
VHL10815,1.0
VHL16245,1.0
VHL14969,1.0
VHL19652,1.0
VHL11330,1.0
VHL19827,1.0
VHL10484,1.0
VHL11394,1.0
VHL18787,1.0
VHL11803,1.0
VHL12784,1.0
VHL17216,1.0
VHL10033,1.0
VHL11776,1.0
VHL14947,1.0
VHL17522,1.0
VHL14197,1.0
VHL13071,1.0
VHL17406,1.0
VHL12174,1.0
VHL12440,1.0
VHL12462,1.0
VHL12158,1.0
VHL14899,1.0
VHL11281,1.0
VHL10913,1.0
VHL19630,1.0
VHL19709,1.0
VHL14819,1.0
VHL15381,1.0
VHL14781,1.0
VHL18728,1.0
VHL16520,1.0
VHL10643,1.0
VHL19438,1.0
VHL14103,1.0
VHL19088,1.0
VHL15456,1.0
VHL16411,1.0
VHL19044,1.0
VHL15194,1.0
VHL11490,1.0
VHL13904,1.0
VHL15148,1.0
VHL10918,1.0
VHL19119,1.0
VHL10313,1.0
VHL17176,1.0
VHL17166,1.0
VHL11166,1.0
VHL19144,1.0
VHL17259,1.0
VHL11965,1.0
VHL13791,1.0
VHL12309,1.0
VHL18687,1.0
VHL10199,1.0
VHL18562,1.0
VHL14042,1.0
VHL19017,1.0
VHL18805,1.0
VHL18622,1.0
VHL14045,1.0
VHL17010,1.0
VHL16993,1.0
VHL16050,1.0
VHL16363,1.0
VHL10287,1.0
VHL19873,1.0
VHL15450,1.0
VHL14789,1.0
VHL14379,1.0
VHL10911,1.0
VHL10449,1.0
VHL19705,1.0
VHL14766,1.0
VHL16203,1.0
VHL14855,1.0
VHL14661,1.0
VHL19859,1.0
VHL14028,1.0
VHL14991,1.0
VHL15291,1.0
VHL16047,1.0
VHL12253,1.0
VHL10428,1.0
VHL15237,1.0
VHL16101,1.0
VHL16143,1.0
VHL10257,1.0
VHL16662,1.0
VHL19799,1.0
VHL14241,1.0
VHL17705,1.0
VHL17529,1.0
VHL15191,1.0
VHL17451,1.0
VHL17879,1.0
VHL19264,1.0
VHL19009,1.0
VHL10568,1.0
VHL19545,1.0
VHL16822,1.0
VHL10957,1.0
VHL15607,1.0
VHL12093,1.0
VHL19096,1.0
VHL18288,1.0
VHL11310,1.0
VHL19333,1.0
VHL13823,1.0
VHL19965,1.0
VHL16917,1.0
VHL11177,1.0
VHL16853,1.0
VHL18554,1.0
VHL18562,1.0
VHL10753,1.0
VHL16804,1.0
VHL18774,1.0
VHL15561,1.0
VHL12265,1.0
VHL10021,1.0
VHL18216,1.0
VHL18297,1.0
VHL15781,1.0
VHL12134,1.0
VHL12909,1.0
VHL19963,1.0
VHL16014,1.0
VHL14675,1.0
VHL19999,1.0
VHL15433,1.0
VHL12937,1.0
VHL11373,1.0
VHL17859,1.0
VHL10314,1.0
VHL18773,1.0
VHL16942,1.0
VHL18334,1.0
VHL17910,1.0
VHL18494,1.0
VHL12860,1.0
VHL10204,1.0
VHL19924,1.0
VHL13255,1.0
VHL12057,1.0
VHL19296,1.0
VHL10104,1.0
VHL14185,1.0
VHL15914,1.0
VHL11633,1.0
VHL10331,1.0
VHL15981,1.0
VHL18376,1.0
VHL14890,1.0
VHL14283,1.0
VHL15877,1.0
VHL10019,1.0
VHL10439,1.0
VHL18436,1.0
VHL11989,1.0
VHL19813,1.0
VHL15869,1.0
VHL13464,1.0
VHL14974,1.0
VHL13446,1.0
VHL11326,1.0
VHL12561,1.0
VHL12421,1.0
VHL15061,1.0
VHL16174,1.0
VHL14500,1.0
VHL16937,1.0
VHL13576,1.0
VHL12458,1.0
VHL11965,1.0
VHL11890,1.0
VHL14930,1.0
VHL16445,1.0
VHL11308,1.0
VHL17652,1.0
VHL13004,1.0
VHL10262,1.0
VHL13111,1.0
VHL13568,1.0
VHL12606,1.0
VHL15786,1.0
VHL11054,1.0
VHL15167,1.0
VHL14716,1.0
VHL11763,1.0
VHL17885,1.0
VHL16048,1.0
VHL17032,1.0
VHL10344,1.0
VHL13463,1.0
VHL12903,1.0
VHL14551,1.0
VHL14763,1.0
VHL19270,1.0
VHL12817,1.0
VHL18354,1.0
VHL12185,1.0
VHL14983,1.0
VHL15530,1.0
VHL15827,1.0
VHL14886,1.0
VHL17643,1.0
VHL16987,1.0
VHL14294,1.0
VHL16175,1.0
VHL18639,1.0
VHL13640,1.0
VHL17895,1.0
VHL19307,1.0
VHL19436,1.0
VHL19809,1.0
VHL10638,1.0
VHL13859,1.0
VHL11640,1.0
VHL13661,1.0
VHL15523,1.0
VHL12838,1.0
VHL11312,1.0
VHL12699,1.0
VHL14640,1.0
VHL17666,1.0
VHL14903,1.0
VHL13835,1.0
VHL15635,1.0
VHL19827,1.0
VHL14808,1.0
VHL16208,1.0
VHL18605,1.0
VHL19751,1.0
VHL17664,1.0
VHL12588,1.0
VHL17702,1.0
VHL10842,1.0
VHL19609,1.0
VHL12767,1.0
VHL13680,1.0
VHL13507,1.0
VHL16160,1.0
VHL13555,1.0
VHL18088,1.0
VHL16428,1.0
VHL11278,1.0
VHL17567,1.0
VHL16715,1.0
VHL15486,1.0
VHL10286,1.0
VHL13344,1.0
VHL17544,1.0
VHL12579,1.0
VHL19966,1.0
VHL12989,1.0
VHL18968,1.0
VHL16423,1.0
VHL15852,1.0
VHL16298,1.0
VHL13399,1.0
VHL11381,1.0
VHL18329,1.0
VHL13335,1.0
VHL11885,1.0
VHL19284,1.0
VHL12612,1.0
VHL15522,1.0
VHL16059,1.0
VHL10388,1.0
VHL10025,1.0
VHL14629,1.0
VHL10790,1.0
VHL17966,1.0
VHL12843,1.0
VHL11996,1.0
VHL15688,1.0
VHL13110,1.0
VHL19865,1.0
VHL13379,1.0
VHL18639,1.0
VHL16928,1.0
VHL11725,1.0
VHL11355,1.0
VHL17560,1.0
VHL11885,1.0
VHL12995,1.0
VHL11751,1.0
VHL14633,1.0
VHL16853,1.0
VHL14501,1.0
VHL13938,1.0
VHL12329,1.0
VHL10067,1.0
VHL19818,1.0
VHL12785,1.0
VHL13874,1.0
VHL18142,1.0
VHL14855,1.0
VHL12147,1.0
VHL15256,1.0
VHL13751,1.0
VHL17863,1.0
VHL13981,1.0
VHL18916,1.0
VHL19492,1.0
VHL16004,1.0
VHL15913,1.0
VHL16871,1.0
VHL11388,1.0
VHL15019,1.0
VHL11934,1.0
VHL19784,1.0
VHL12593,1.0
VHL15836,1.0
VHL17034,1.0
VHL14607,1.0
VHL17105,1.0
VHL18773,1.0
VHL12684,1.0
VHL17154,1.0
VHL10849,1.0
VHL12067,1.0
VHL14247,1.0
VHL18581,1.0
VHL18516,1.0
VHL17684,1.0
VHL17215,1.0
VHL15232,1.0
VHL19310,1.0
VHL12120,1.0
VHL15455,1.0
VHL10132,1.0
VHL12356,1.0
VHL16995,1.0
VHL15752,1.0
VHL12151,1.0
VHL11902,1.0
VHL17808,1.0
VHL17592,1.0
VHL16636,1.0
VHL11497,1.0
VHL17774,1.0
VHL15919,1.0
VHL15172,1.0
VHL11820,1.0
VHL13093,1.0
VHL17445,1.0
VHL18989,1.0
VHL10713,1.0
VHL14240,1.0
VHL13501,1.0
VHL18215,1.0
VHL14878,1.0
VHL19143,1.0
VHL10173,1.0
VHL16962,1.0
VHL15384,1.0
VHL13844,1.0
VHL11998,1.0
VHL10444,1.0
VHL19655,1.0
VHL18921,1.0
VHL11774,1.0
VHL15490,1.0
VHL18694,1.0
VHL10360,1.0
VHL18707,1.0
VHL15801,1.0
VHL17931,1.0
VHL16716,1.0
VHL11290,1.0
VHL18180,1.0
VHL19935,1.0
VHL16593,1.0
VHL17349,1.0
